שם השכונה,מספר מקלט,כתובת,שטח,סוג,נגישות,מס' נפשות,שייכות,קואורדינטות ציר x,קורדינטות ציר y,כתובות למפה,מינהל,שכונה,קטגוריה,יום עברי,חודש עברי,שנה עברית,קרדיט
קטמון,מקלט ציבורי מספר 967,אנטיגונוס 7,100,מקלט,,80,תנועת אריאל,31.75888667,35.209264,"אנטיגנוס 4, ירושלים",,,"גוננים - קטמונים, מקלט ציבורי",,,,
קטמון,מקלט ציבורי מספר 969,יוסי בן יועזר 16,100,מקלט,,80,"עיריית ירושלים, אגף הספורט",31.75687008,35.20875076,"יוסי בן יועזר 16, ירושלים",,,"גוננים - קטמונים, מקלט ציבורי",,,,
קריית שמואל,מקלט ציבורי מספר 971 - מקלט נגיש,"הפלמ""ח 16",100,מקלט,מקלט נגיש,80,מינהל קהילתי גינות העיר,31.76784826,35.2120205,"הפלמ""ח 16, ירושלים",,,"קריית שמואל, מקלט נגיש, מקלט ציבורי",,,,
רחביה,מקלט ציבורי מספר 972,אלחריזי 26,100,מקלט,,80,"עיריית ירושלים, אגף תרבות, בית יעל",31.77628089,35.2142244,"אלחריזי 26, ירושלים",,,"רחביה, מקלט ציבורי",,,,
מרכז העיר,מקלט ציבורי מספר 973,הרב אבידע 5,100,מקלט,,80,"עיריית ירושלים, מנח""י, החט' לקידום נוער, בי""ס לדרמה",31.77791035,35.21665559,"הרב אבידע 5, ירושלים",,,"מרכז העיר, מקלט ציבורי",,,,
מרכז העיר,מקלט ציבורי מספר 974,שמואל הנגיד 9,100,מקלט,,80,"עיריית ירושלים, מנח""י, החט' לקידום נוער",31.77988294,35.2147312,"שמואל הנגיד 9, ירושלים",,,"מרכז העיר, מקלט ציבורי",,,,
רוממה,מקלט ציבורי מספר 975א,זיכרון יעקב 15,50,מקלט,,40,"עיריית ירושלים, אגף חירום וביטחון",31.79447697,35.2017481,"זכרון יעקב 15, ירושלים",,,"רוממה, מקלט ציבורי",,,,
רוממה,מקלט ציבורי מספר 975ב,זיכרון יעקב 17,50,מקלט,,40,"""עמותת ""דרכי מרים",31.79422545,35.20202255,"זכרון יעקב 17, ירושלים",,,"רוממה, מקלט ציבורי",,,,
רוממה,מקלט ציבורי מספר 975ג,זכרון יעקב 19,50,מקלט,,40,"""עמותת ""לב מלכה",31.79395477,35.20219002,"זכרון יעקב 19, ירושלים",,,"רוממה, מקלט ציבורי",,,,
רוממה,מקלט ציבורי מספר 975ד,זכרון יעקב 21,50,מקלט,,40,"עיריית ירושלים, אגף חירום וביטחון",31.79353551,35.20219698,"זכרון יעקב 21, ירושלים",,,"רוממה, מקלט ציבורי",,,,
קטמון,מקלט ציבורי מספר 976 - מקלט נגיש,אלמליח אברהם 41,50,מקלט,מקלט נגיש,40,"עיריית ירושלים, אגף חירום וביטחון",31.75536971,35.19197755,"אלמליח אברהם 41, ירושלים",,,"גוננים - קטמונים, מקלט ציבורי, מקלט נגיש",,,,
קריית משה,מקלט ציבורי מספר 977,גת 23,100​,מקלט,,80,מינהל קהילתי מיתרים,31.78641411,35.1973343,"גת 23, ירושלים",,,"קריית משה, מקלט ציבורי",,,,
קריית משה,מקלט ציבורי מספר 978,הרב צבי יהודה 13,100,מקלט,,80,מינהל קהילתי מיתרים,31.7875375,35.19555009,"יצחק בן דור 13, ירושלים",,,"קריית משה, מקלט ציבורי",,,,
רוממה,מקלט ציבורי מספר 979 - מקלט נגיש,זכרון יעקב 10,100,מקלט,מקלט נגיש,80,"""בית כנסת ""חניכי הישיבות רוממה",31.79507382,35.20108273,"זכרון יעקב 10, ירושלים",,,"רוממה, מקלט נגיש, מקלט ציבורי",,,,
